id,song_name,singer,album,release_date,cover_image,spotify_url,popularity,genre,language,language_evidence,source,mood_valence,mood_arousal,mood_danceability,mood_acousticness,artist_text,release_year,text,recommendation_text,emotion_sadness,emotion_joy,emotion_love,emotion_anger,emotion_fear,emotion_surprise,emotion_prob_sadness,emotion_prob_joy,emotion_prob_love,emotion_prob_anger,emotion_prob_fear,emotion_prob_surprise,emotion_label,emotion_confidence,emotion_label_source
4ulroyDK6rN73nVkCkWhur,Sahiba,"['Jasleen Royal', 'Stebin Ben', 'Vijay Deverakonda', 'Radhikka Madan', 'Priya Saraiya', 'Aditya Sharma']",Sahiba,2024-11-15,https://i.scdn.co/image/ab67616d0000b273b5e7944443cec785db91184b,https://open.spotify.com/track/4ulroyDK6rN73nVkCkWhur,78,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Jasleen Royal Stebin Ben Vijay Deverakonda Radhikka Madan Priya Saraiya Aditya Sharma,2024,Sahiba Sahiba Jasleen Royal Stebin Ben Vijay Deverakonda Radhikka Madan Priya Saraiya Aditya Sharma bollywood Hindi,Sahiba Sahiba bollywood Hindi,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
1PDREqVNvmphIoNac3Vz8c,Sanam Teri Kasam,"['Ankit Tiwari', 'Palak Muchhal', 'Sameer Anjaan']",Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,https://open.spotify.com/track/1PDREqVNvmphIoNac3Vz8c,74,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Ankit Tiwari Palak Muchhal Sameer Anjaan,2016,Sanam Teri Kasam Sanam Teri Kasam (Original Motion Picture Soundtrack) Ankit Tiwari Palak Muchhal Sameer Anjaan bollywood Hindi,Sanam Teri Kasam Sanam Teri Kasam (Original Motion Picture Soundtrack) bollywood Hindi,0.0,0.0,0.11052689618568004,0.0,0.0,0.0,0.111344,0.111344,0.443282,0.111344,0.111344,0.111344,love,0.110527,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")","['Ram Sampath', 'Arijit Singh', 'Prashant Pandey']","Sajni (From ""Laapataa Ladies"")",2024-02-12,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy,75,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Ram Sampath Arijit Singh Prashant Pandey,2024,"Sajni (From ""Laapataa Ladies"") Sajni (From ""Laapataa Ladies"") Ram Sampath Arijit Singh Prashant Pandey bollywood Hindi","Sajni (From ""Laapataa Ladies"") Sajni (From ""Laapataa Ladies"") bollywood Hindi",0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
5AnWrUzsrFgBvhn6dUElnr,"Aaj Ki Raat (From ""Stree 2"")","['Sachin-Jigar', 'Madhubanti Bagchi', 'Divya Kumar', 'Amitabh Bhattacharya']","Aaj Ki Raat (From ""Stree 2"")",2024-07-24,https://i.scdn.co/image/ab67616d0000b2735e16168f7e8ff4fb8aace6cf,https://open.spotify.com/track/5AnWrUzsrFgBvhn6dUElnr,73,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Sachin-Jigar Madhubanti Bagchi Divya Kumar Amitabh Bhattacharya,2024,"Aaj Ki Raat (From ""Stree 2"") Aaj Ki Raat (From ""Stree 2"") Sachin-Jigar Madhubanti Bagchi Divya Kumar Amitabh Bhattacharya bollywood Hindi","Aaj Ki Raat (From ""Stree 2"") Aaj Ki Raat (From ""Stree 2"") bollywood Hindi",0.0,0.26599999999999996,0.0,0.0,0.0,0.0,0.030489,0.847556,0.030489,0.030489,0.030489,0.030489,joy,0.266,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
78BWCd70D1X6LMkDZm1UoF,Millionaire,['Yo Yo Honey Singh'],Glory,2024-08-26,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,https://open.spotify.com/track/78BWCd70D1X6LMkDZm1UoF,74,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Yo Yo Honey Singh,2024,Millionaire Glory Yo Yo Honey Singh bollywood Hindi,Millionaire Glory bollywood Hindi,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
3trnNo4KeaUlFuUiV7iRCj,Tera Chehra,"['Arijit Singh', 'Sameer Anjaan']",Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,https://open.spotify.com/track/3trnNo4KeaUlFuUiV7iRCj,73,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Arijit Singh Sameer Anjaan,2016,Tera Chehra Sanam Teri Kasam (Original Motion Picture Soundtrack) Arijit Singh Sameer Anjaan bollywood Hindi,Tera Chehra Sanam Teri Kasam (Original Motion Picture Soundtrack) bollywood Hindi,0.0,0.0,0.10340726620736207,0.0,0.0,0.0,0.115711,0.115711,0.421444,0.115711,0.115711,0.115711,love,0.103407,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","['Arijit Singh', 'Mithoon']","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,74,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Arijit Singh Mithoon,2019,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") Tujhe Kitna Chahne Lage (From ""Kabir Singh"") Arijit Singh Mithoon bollywood Hindi","Tujhe Kitna Chahne Lage (From ""Kabir Singh"") Tujhe Kitna Chahne Lage (From ""Kabir Singh"") bollywood Hindi",0.26599999999999996,0.0,0.0,0.0,0.0,0.0,0.847556,0.030489,0.030489,0.030489,0.030489,0.030489,sadness,0.266,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
2ceeTJAzKy295Fm0VsaXtE,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","['Sachin-Jigar', 'Raghav Chaitanya', 'Varun Jain', 'Indraneel']","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-02-02,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,https://open.spotify.com/track/2ceeTJAzKy295Fm0VsaXtE,73,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Sachin-Jigar Raghav Chaitanya Varun Jain Indraneel,2024,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") Sachin-Jigar Raghav Chaitanya Varun Jain Indraneel bollywood Hindi","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") bollywood Hindi",0.0,0.0,0.098,0.0,0.0,0.0,0.118989,0.118989,0.405057,0.118989,0.118989,0.118989,unclassified,0.098,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")","['Arijit Singh', 'Shreyas Puranik', 'Siddharth - Garima']","Satranga (From ""ANIMAL"")",2023-10-27,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,https://open.spotify.com/track/3yHyiUDJdz02FZ6jfUbsmY,73,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Arijit Singh Shreyas Puranik Siddharth - Garima,2023,"Satranga (From ""ANIMAL"") Satranga (From ""ANIMAL"") Arijit Singh Shreyas Puranik Siddharth - Garima bollywood Hindi","Satranga (From ""ANIMAL"") Satranga (From ""ANIMAL"") bollywood Hindi",0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,unclassified,0.0,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,"['Pritam', 'Mohit Chauhan', 'Irshad Kamil']",Jab We Met,2007-09-21,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE,73,bollywood,Hindi,Genre metadata: bollywood → Hindi,spotify_dataset.csv,,,,,Pritam Mohit Chauhan Irshad Kamil,2007,Tum Se Hi Jab We Met Pritam Mohit Chauhan Irshad Kamil bollywood Hindi,Tum Se Hi Jab We Met bollywood Hindi,0.0,0.0,0.098,0.0,0.0,0.0,0.118989,0.118989,0.405057,0.118989,0.118989,0.118989,unclassified,0.098,metadata/content relevance: weighted lexical evidence + TF-IDF emotion prototype similarity; weak genre cue; not ground-truth song emotion
