language,emotion,rank,song_name,artist,emotion_score,emotion_evidence,similarity,rank_score
English,sadness,1,The Way We Say Goodbye,Circa Waves,0.956469,0.3759364586947657,0.0,0.7025283
English,sadness,2,Would You Rather Be Lonely,Red Rum Club,0.949816,0.364,0.0,0.7018712
English,sadness,3,Never Be Lonely,The Feeling,0.949816,0.364,0.0,0.7008712
English,sadness,4,One More Day Won’t Hurt,SOFT PLAY,0.949816,0.364,0.0,0.6998712
English,sadness,5,"Giulio Cesare, HWV 17, Act III Scene 1: Flow, my tears (Cleopatra)",George Frideric Handel Sir Charles Mackerras English National Opera Orchestra Valerie Masterson,0.954007,0.3721450599993142,0.0,0.6978049000000001
English,joy,1,Too Much Fun,Sea Girls,0.956437,0.3758758768867963,0.0,0.7035059
English,joy,2,Sure Feels Good,Willie J Healey,0.949816,0.364,0.0,0.7008712
English,joy,3,Are We Having Any Fun Yet?,Larkins,0.954738,0.3726724982980101,0.0,0.6963166
English,joy,4,Happy Family,Sundara Karma,0.952816,0.3691852193491867,0.0,0.6949712
English,joy,5,Are We Having Any Fun yet? - Ayokay Remix,Larkins ayokay,0.954075,0.3714539672488476,0.0,0.6918525
English,love,1,So Long Forever,Palace,0.956624,0.3762357215901376,0.0,0.7156368000000001
English,love,2,Are You in Love With a Notion?,Courteeners,0.952681,0.368945206609224,0.0,0.7148767
English,love,3,At Most A Kiss,Blossoms,0.958604,0.3801392245503956,0.0,0.7140228
English,love,4,Heart On My Sleeve,The K's,0.955754,0.3753414745460546,0.0,0.7110278
English,love,5,Wild Heart,Saint Raymond,0.958328,0.3795840677552656,0.0,0.7058296
English,love,6,Let's Leave Together,Circa Waves,0.464563,0.117396232787846,0.0,0.37219409999999997
English,love,7,Not Nineteen Forever,Courteeners,0.435915,0.1081345744659631,0.0,0.3591405
English,love,8,That Kiss - Remastered 2022,Courteeners,0.447766,0.1119789212112031,0.0,0.3494362
English,love,9,Tough Love,Flyte Laura Marling,0.428727,0.1057911601888935,0.0,0.3481089
English,love,10,My Cheating Heart,Love Fame Tragedy,0.441884,0.1100734504608542,0.0,0.34131880000000003
English,anger,1,Fight On,The Lathums,0.949816,0.364,0.0,0.7148712
English,anger,2,"Suite d'Abdelazer: or, the moor's revenge: Rondeau",Henry Purcell Ensemble Orchestral Harmonia Nova & Didier Bouture Didier Bouture Ensemble Orchestral Harmonia Nova,0.954927,0.3730223881788028,0.0,0.7084488999999999
English,anger,3,Hate the Player,The Clause,0.949816,0.364,0.0,0.6908712
English,anger,4,Mad Mind,Bad Nerves,0.949816,0.364,0.0,0.6878712
English,anger,5,Red Flags & Warning Signs,The Lilacs,0.776396,0.2659999999999999,0.0,0.5664772
English,fear,1,Your Ghost,Circa Waves,0.957787,0.3785060730880196,0.0,0.7034509
English,fear,2,Panic Like Tom,Riscas,0.957728,0.3783907586571676,0.0,0.6974096
English,fear,3,I Saw A Ghost,The Slow Readers Club,0.957568,0.3780741821042164,0.0,0.6972976
English,fear,4,I See Your Ghost,The Lathums,0.956273,0.3755621188403072,0.0,0.6953911
English,fear,5,Nightmares & Ice Cream,Palace,0.847556,0.2659999999999999,0.0,0.6262892
English,fear,6,Ghost,The Reytons,0.460214,0.1159964653408061,0.0,0.35214979999999996
English,fear,7,Red Flags & Warning Signs,The Lilacs,0.111889,0.1110275191754088,0.0,0.1013223
English,surprise,1,Black Magic,The Amazons,0.990708,0.5022956660656951,0.0,0.7354956
English,surprise,2,Black Magic - Acoustic,The Amazons,0.99031,0.4989129541166455,0.0,0.727217
English,surprise,3,Wow!!!7AM,SOFT PLAY,0.96061,0.3842792359392535,0.0,0.6954269999999999
English,surprise,4,Oh My Love,The Lathums,0.783551,0.2659999999999999,0.0,0.5854857
Hindi,sadness,1,"Teri Hogaiyaan - From ""Broken But Beautiful Season 2""",Vishal Mishra,0.988203,0.483,0.0,0.7467421000000001
Hindi,sadness,2,Judaai,Sachin-Jigar Rekha Bhardwaj Arijit Singh,0.961706,0.3866285830285486,0.0,0.7361941999999999
Hindi,sadness,3,Judai,Pritam Kamran Ahmed,0.961878,0.387002242303579,0.0,0.7283146
Hindi,sadness,4,Bewafa Tera Masoom Chehra,Rochak Kohli Jubin Nautiyal Rashmi Virag,0.937809,0.3772305012688854,0.0,0.7144663
Hindi,sadness,5,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh Mithoon,0.847556,0.2659999999999999,0.0,0.6672891999999999
