language,emotion,songs_with_evidence_ge_0.10,max_raw_evidence,mean_raw_evidence
English,sadness,5,0.3759,0.003
English,joy,6,0.3759,0.0046
English,love,37,0.3801,0.0076
English,anger,5,0.373,0.002
English,fear,7,0.3785,0.0023
English,surprise,4,0.5023,0.002
Hindi,sadness,20,0.483,0.0103
Hindi,joy,7,0.3755,0.003
Hindi,love,89,0.4783,0.0212
Hindi,anger,2,0.364,0.0009
Hindi,fear,1,0.5917,0.0006
Hindi,surprise,4,0.4993,0.0018
Punjabi,sadness,13,0.4959,0.0051
Punjabi,joy,11,0.3793,0.0039
Punjabi,love,36,0.3808,0.0075
Punjabi,anger,6,0.3816,0.0021
Punjabi,fear,2,0.3919,0.0008
Punjabi,surprise,2,0.3826,0.0008
